# Sample Transactions File for Alephys Expense Tracker
# Format: TYPE,AMOUNT,CATEGORY,DESCRIPTION,DATE
# TYPE: INCOME or EXPENSE
# Categories for INCOME: SALARY, BUSINESS, FREELANCING, INVESTMENT, OTHER
# Categories for EXPENSE: FOOD, RENT, TRAVEL, UTILITIES, ENTERTAINMENT, HEALTHCARE, OTHER

INCOME,5000.00,SALARY,Monthly salary from Alephys,2024-01-01
EXPENSE,1200.00,RENT,Monthly apartment rent,2024-01-01
EXPENSE,300.00,FOOD,Groceries and dining,2024-01-02
INCOME,2000.00,FREELANCING,Web development project,2024-01-05
EXPENSE,150.00,UTILITIES,Electricity and water bills,2024-01-03
EXPENSE,80.00,TRANSPORTATION,Gas and parking,2024-01-04
INCOME,500.00,INVESTMENT,Dividend payments,2024-01-10
EXPENSE,200.00,ENTERTAINMENT,Movies and dining out,2024-01-06
EXPENSE,400.00,HEALTHCARE,Medical checkup and medicines,2024-01-08
EXPENSE,250.00,TRAVEL,Weekend trip expenses,2024-01-15
INCOME,1500.00,BUSINESS,Consulting income,2024-01-20
EXPENSE,100.00,FOOD,Restaurant dinner,2024-01-12
EXPENSE,75.00,UTILITIES,Internet bill,2024-01-15
INCOME,3000.00,SALARY,Bonus payment,2024-01-25
EXPENSE,50.00,ENTERTAINMENT,Streaming subscriptions,2024-01-18
